Theme,Epic,User Story,Titre,Estimation,Priorité,Type,Capabilities,Dépendances,Nb dépendances,Nb dépendants
Expérience joueur,Gestion des comptes & Profils (NFT Custom Avatar),"En tant qu'utilisateur, je veux créer un compte avec email et mot de passe",Créer un compte avec email et mot de passe,XS,Must,Front + Back,auth;profile,,0,9
Expérience joueur,Gestion des comptes & Profils (NFT Custom Avatar),"En tant qu'utilisateur, je veux me connecter à mon compte existant",Se connecter à son compte,XS,Must,Front + Back,auth,Créer un compte avec email et mot de passe,1,0
Expérience joueur,Gestion des comptes & Profils (NFT Custom Avatar),"En tant qu'utilisateur, je veux personnaliser mon profil avec avatar et pseudo",Personnaliser son profil,S,Should,Front + Back,profile,Créer un compte avec email et mot de passe,1,0
Expérience joueur,Gestion des comptes & Profils (NFT Custom Avatar),"En tant qu'utilisateur, je veux récupérer mon mot de passe oublié",Récupérer son mot de passe oublié,XS,Must,Front + Back,auth,Créer un compte avec email et mot de passe,1,0
Expérience joueur,Gestion des comptes & Profils (NFT Custom Avatar),"En tant qu'utilisateur, je veux me connecter via Google/Facebook",Me connecter via Google/Facebook,M,Could,Front + Back,auth;social,,0,0
Expérience joueur,Gestion des comptes & Profils (NFT Custom Avatar),"En tant qu'utilisateur, je veux modifier mes informations personnelles",Modifier mes informations personnelles,XS,Should,Front + Back,profile,Créer un compte avec email et mot de passe,1,0
Expérience joueur,Gestion des comptes & Profils (NFT Custom Avatar),"En tant qu'utilisateur, je veux supprimer mon compte",Supprimer mon compte,S,Could,Front + Back,auth;profile,Créer un compte avec email et mot de passe,1,0
Expérience joueur,Gestion des comptes & Profils (NFT Custom Avatar),"En tant qu'utilisateur, je veux gérer mes paramètres de confidentialité",Gérer mes paramètres de confidentialité,M,Should,Front + Back,profile,Créer un compte avec email et mot de passe,1,0
Expérience joueur,Gestion des comptes & Profils (NFT Custom Avatar),"En tant qu'utilisateur, je veux voir mon historique de chasses",Voir mon historique de chasses,M,Should,Front + Back,content-management;analytics,Créer un compte avec email et mot de passe,1,0
Expérience joueur,Gestion des comptes & Profils (NFT Custom Avatar),"En tant qu'utilisateur, je veux lier mes réseaux sociaux à mon profil",Lier mes réseaux sociaux à mon profil,S,Could,Front + Back,profile;social,Créer un compte avec email et mot de passe,1,2
Expérience joueur,Onboarding & Tutoriel,"En tant que nouvel utilisateur, je veux un tutoriel interactif pour comprendre le jeu",Tutoriel interactif pour comprendre le jeu,M,Must,Front,onboarding,,0,7
Expérience joueur,Onboarding & Tutoriel,"En tant que nouvel utilisateur, je veux apprendre à créer ma première cache",Apprendre à créer ma première cache,S,Could,Front,onboarding;content-creation,Tutoriel interactif pour comprendre le jeu,1,0
Expérience joueur,Onboarding & Tutoriel,"En tant que nouvel utilisateur, je veux comprendre le système de récompenses",Comprendre le système de récompenses,S,Must,Front,onboarding;reward,Tutoriel interactif pour comprendre le jeu,1,0
Expérience joueur,Onboarding & Tutoriel,"En tant que nouvel utilisateur, je veux savoir comment compléter une chasse",Savoir comment compléter une chasse,S,Must,Front,onboarding;content-management,Tutoriel interactif pour comprendre le jeu,1,0
Expérience joueur,Onboarding & Tutoriel,"En tant que nouvel utilisateur, je veux découvrir les fonctionnalités de base",Découvrir les fonctionnalités de base,S,Must,Front,onboarding,Tutoriel interactif pour comprendre le jeu,1,0
Expérience joueur,Onboarding & Tutoriel,"En tant que nouvel utilisateur, je veux accéder aux tutoriels à tout moment",Accéder aux tutoriels à tout moment,XS,Should,Front,onboarding,Tutoriel interactif pour comprendre le jeu,1,0
Expérience joueur,Onboarding & Tutoriel,"En tant que nouvel utilisateur, je veux des conseils contextuels durant mes premières actions",Conseils contextuels durant mes premières actions,M,Should,Front,onboarding,Tutoriel interactif pour comprendre le jeu,1,0
Expérience joueur,Onboarding & Tutoriel,"En tant que nouvel utilisateur, je veux voir une FAQ des questions communes",FAQ des questions communes,S,Could,Front,onboarding,,0,0
Expérience joueur,Onboarding & Tutoriel,"En tant que nouvel utilisateur, je veux des vidéos explicatives",Des vidéos explicatives,M,Could,Front,onboarding,,0,0
Expérience joueur,Onboarding & Tutoriel,"En tant que nouvel utilisateur, je veux passer le tutoriel si je suis déjà familier",Passer le tutoriel si je suis déjà familier,XS,Should,Front,onboarding,Tutoriel interactif pour comprendre le jeu,1,0
Expérience joueur,Système de niveau et d'expérience,"En tant qu'utilisateur, je veux gagner des points d'expérience en complétant des chasses",Gagner des points d'expérience en complétant des chasses,M,Must,Back + Front,gamification;reward;content-management,Voir mon solde de monnaie virtuelle;Recevoir des notifications push sur mon téléphone;Créer une chasse au trésor simple,3,3
Expérience joueur,Système de niveau et d'expérience,"En tant qu'utilisateur, je veux monter de niveau grâce à mes actions",Monter de niveau grâce à mes actions,M,Must,Back + Front,gamification;reward,Gagner des points d'expérience en complétant des chasses,1,6
Expérience joueur,Système de niveau et d'expérience,"En tant qu'utilisateur, je veux voir ma progression actuelle",Voir ma progression actuelle,S,Must,Front,gamification;analytics,Monter de niveau grâce à mes actions,1,0
